1,Али Ахмети,Соговорник 03
2,Антонио Милошоски,Томе Аџиев
2,Блерим Беџети,Муса Џафери
1,Бујар Османи,Соговорник 05
1,Ванчо Костадинов,Влатко Мијалков
2,Ванчо Костадинов,Миле Јанакиески
2,Владимир Талески,Влатко Мијалков
1,Владимир Талески,Влатко Чинговски
1,Влатко Мијалков,Миле Јанакиески
3,Влатко Мијалков,Ќире Шошев 
1,Влатко Чинговски,Мартин Протугер
1,Влатко Чинговски,Никола Груевски
1,Влатко Чинговски,Силјан Мицевски
3,Горан Иванов,Драган Павловиќ Латас
1,Гордана Јанкуловска,Александра Зафировска
2,Гордана Јанкуловска,Билјана Бришкоска - Бошковски
1,Гордана Јанкуловска,Васил Пишев
1,Гордана Јанкуловска,Виктор Цветковски
1,Гордана Јанкуловска,Виолета Андонова
1,Гордана Јанкуловска,Владимир Пешевски
1,Гордана Јанкуловска,Влатко Илиевски
36,Гордана Јанкуловска,Зоран Ставрески
2,Гордана Јанкуловска,Иво Котевски
3,Гордана Јанкуловска,Илија Димовски
9,Гордана Јанкуловска,Кирил Божиновски
2,Гордана Јанкуловска,Ленче Самарџиевска
1,Гордана Јанкуловска,Љупчо Тодоровски
1,Гордана Јанкуловска,Љупчо Шврговски
1,Гордана Јанкуловска,Мајран Цветковски
1,Гордана Јанкуловска,Марјан Ристески
13,Гордана Јанкуловска,Мартин Протугер
3,Гордана Јанкуловска,Миле Јанакиески
1,Гордана Јанкуловска,Митко Чавков
1,Гордана Јанкуловска,Михајло Маневски
7,Гордана Јанкуловска,Никола Груевски
1,Гордана Јанкуловска,Никола Поповски
1,Гордана Јанкуловска,Никола Тодоров
1,Гордана Јанкуловска,Никола Тодоровски
1,Гордана Јанкуловска,Панче Кралев
19,Гордана Јанкуловска,Сашо Мијалков
2,Гордана Јанкуловска,Славе Гошев
1,Гордана Јанкуловска,Соговорник 07
1,Гордана Јанкуловска,Соговорник 12
1,Гордана Јанкуловска,Соговорник 13
1,Гордана Јанкуловска,Соговорник 14
1,Гордана Јанкуловска,Соговорник 16
1,Гордана Јанкуловска,Соговорник 20
1,Гордана Јанкуловска,Соговорник 30
1,Гордана Јанкуловска,Соговорник (Ане)
1,Гордана Јанкуловска,Соговорник (Ристе)
1,Гордана Јанкуловска,Спиро Ристовски
7,Гордана Јанкуловска,Трајко Вељаноски
1,Дарко Димитриески,Антонио Милошоски
2,Дејан Митровски-Урко,Сашо Мијалков
2,Драган Павловиќ Латас,Горан Иванов
2,Драган Павловиќ Латас,Горан Трајковски
1,Драган Павловиќ Латас,Елизабета Канческа-Милевска
1,Драган Павловиќ Латас,Зоран Коњановски
1,Драган Павловиќ Латас,Мартин Протугер
1,Драган Павловиќ Латас,Никола Груевски
5,Драган Павловиќ Латас,Сашо Мијалков
1,Драган Павловиќ Латас,Соговорник 32
1,Драган Павловиќ Латас,Соговорник 33
1,Драган Павловиќ Латас,Филимена Маневска
1,Елизабета Канческа-Милевска,Миле Јанакиески
3,Емил Стојменов,Сашо Мијалков
1,Зоран Заев,Новинар од РСЕ
1,Зоран Заев,Радмила Шекеринска
1,Зоран Заев,Ќерка му на Заев
1,Зоран Ставрески,Александар Панов
3,Зоран Ставрески,Гордана Јанкуловска
1,Зоран Ставрески,Марјан Ристески
1,Зоранчо Алексов,Влатко Мијалков
1,Иво Котевски,Гордана Јанкуловска
1,Ивона Талеска,Драган Павловиќ Латас
1,Ленче Самарџиевска,Никола Груевски
1,Љубчо Георгиевски,Соговорник 01
1,Љубчо Георгиевски,Соговорник 02
1,Марјан Ристески,Гордана Јанкуловска
1,Мартин Протугер,Влатко Мијалков
1,Мартин Протугер,Гордана Јанкуловска
3,Мартин Протугер,Драган Павловиќ Латас
6,Мартин Протугер,Емил Стојменов
5,Мартин Протугер,Љупчо Тодоровски
2,Мартин Протугер,Миле Јанакиески
1,Мартин Протугер,Обезбедување на Никола Груевски
1,Мендух Тачи,Сашо Мијалков
1,Мендух Тачи,Соговорник 04
1,Миле Јанакиески,Александар Николовски
5,Миле Јанакиески,Александар Панов
1,Миле Јанакиески,Владимир Талески
4,Миле Јанакиески,Горан Иванов
1,Миле Јанакиески,Горан Трајковски
1,Миле Јанакиески,Гордана Јанкуловска
1,Миле Јанакиески,Директорка на дом
1,Миле Јанакиески,Душко Миновски
1,Миле Јанакиески,Жарко Луковски
1,Миле Јанакиески,Зоран Илијоски
4,Миле Јанакиески,Ирена Мишева
1,Миле Јанакиески,Јово Вангеловски
1,Миле Јанакиески,Кирил Божиновски
1,Миле Јанакиески,Љупчо Димовски
1,Миле Јанакиески,Маријан Наковски
3,Миле Јанакиески,Марјан Ристески
2,Миле Јанакиески,Мартин Протугер
38,Миле Јанакиески,Никола Груевски
1,Миле Јанакиески,Никола Тодоров
7,Миле Јанакиески,Сашо Мијалков
1,Миле Јанакиески,Соговорник 06
1,Миле Јанакиески,Соговорник 08
1,Миле Јанакиески,Соговорник 09
1,Миле Јанакиески,Соговорник 10
1,Миле Јанакиески,Соговорник 11
1,Миле Јанакиески,Соговорник 15
1,Миле Јанакиески,Соговорник 17
1,Миле Јанакиески,Соговорник 18
1,Миле Јанакиески,Соговорник 19
1,Миле Јанакиески,Соговорник 21
1,Миле Јанакиески,Соговорник 23
1,Миле Јанакиески,Соговорник 24
1,Миле Јанакиески,Соговорник 25
1,Миле Јанакиески,Соговорник 26
1,Миле Јанакиески,Соговорник 27
3,Миле Јанакиески,Соговорник (Ѓоко)
1,Миле Јанакиески,Соговорник (Стевче)
1,Миле Јанакиески,Согооврник 31
3,Миле Јанакиески,Спиро Ристовски
2,Муса Џафери,Сашо Мијалков
1,Сашо Акимовски,Влатко Чинговски
1,Сашо Мијалков,Драган Павловиќ Латас
1,Сашо Мијалков,Муса Џафери
1,Сашо Мијалков,Соговорник 22
1,Светлана Костова,Влатко Стојковиќ
5,Светлана Костова,Сашо Мијалков
1,Светлана Костова,Соговорник 28
1,Светлана Костова,Соговорник 29
2,Светлана Костова,Хаим Хакеини
2,Силвана Бонева,Надица Танчева Тулиева
4,Силвана Бонева,Никола Груевски
9,Слободан Николовски-Цобе,Сашо Мијалков
1,Соговорник (Дејан),Марјан Ристески
1,Софија Лаличиќ,Сашо Мијалков
1,Стевчо Јакимовски,Сашо Мијалков
1,Филимена Маневска,Влатко Мијалков
